track,album,artist,year,category
The Gift of Fury,Conan the Barbarian,Basil Poledouris,1982,Movie
Column of Sadness / Wheel of Pain,Conan the Barbarian,Basil Poledouris,1982,Movie
Atlantean Sword,Conan the Barbarian,Basil Poledouris,1982,Movie
Theology / Civilization,Conan the Barbarian,Basil Poledouris,1982,Movie
Love Theme,Conan the Barbarian,Basil Poledouris,1982,Movie
The Search,Conan the Barbarian,Basil Poledouris,1982,Movie
The Orgy,Conan the Barbarian,Basil Poledouris,1982,Movie
The Funeral Pyre,Conan the Barbarian,Basil Poledouris,1982,Movie
"Battle of the Mounds, Part 1",Conan the Barbarian,Basil Poledouris,1982,Movie
Orphans of Doom / The Awakening,Conan the Barbarian,Basil Poledouris,1982,Movie
Twin Peaks Theme,Twin Peaks,Angelo Badalamenti,1990,Television
Laura Palmer's Theme,Twin Peaks,Angelo Badalamenti,1990,Television
Audrey's Dance,Twin Peaks,Angelo Badalamenti,1990,Television
The Nightingale,Twin Peaks,Angelo Badalamenti,1990,Television
Freshly Squeezed,Twin Peaks,Angelo Badalamenti,1990,Television
The Bookhouse Boys,Twin Peaks,Angelo Badalamenti,1990,Television
Into the Night,Twin Peaks,Angelo Badalamenti,1990,Television
Night Life in Twin Peaks,Twin Peaks,Angelo Badalamenti,1990,Television
Dance of the Dream Man,Twin Peaks,Angelo Badalamenti,1990,Television
Love Theme from Twin Peaks,Twin Peaks,Angelo Badalamenti,1990,Television
Falling,Twin Peaks,Angelo Badalamenti,1990,Television
Title Theme,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Deku Tree,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Fairy Flying,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
House,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Kokiri Forest,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Shop,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Battle,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Inside the Deku Tree,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Boss Battle,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Hyrule Field Main Theme,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Market,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Hyrule Castle Courtyard,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Ocarina Songs,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Ocarina of Time,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
LonLon Ranch,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Kakariko Village,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Lost Woods,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Zora's Domain,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Great Fairy's Fountain,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Temple of Time,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Chamber of the Sages,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Horse Race,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Kakariko Village Orchestra,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Windmill Hut,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Gerudo Valley,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Ganondorf Battle,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Last Battle,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Zelda's Lullaby,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Staff Credits Theme,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Minuet of Forest,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Bolero of Fire,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Serenade of Water,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Nocturne of Shadow,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Prelude of Light,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
Requiem of Spirit,The Legend of Zelda: Ocarina of Time (US Edition),Koji Kondo,1998,Videogame
